_RAJ2000,_DEJ2000,ID,Nsp,Type,z,f_z,OName,RAJ2000,DEJ2000,RAH,DEH,AOffset,e_AOffset,POffset,e_POffset,E(B-V),E(B-V)h,FUVMag,BMag,KsMag,logSFR,logM,logsSFR,Age,Np,Simbad,recno
12 59 15.861600,+27 16 40.80250,PTF09as,1,SLSN-I,0.1866,GAL.LINES,2009cb,12 59 15.8616,+27 16 40.8025,12 59 15.8702,+27 56 42.38,0.149,0.178,0.48,0.574,0.01,0.2,-16.2,-17.62,-17.96,-0.22,8.19,-8.4,0.58,9,Simbad,1
16 30 24.537200,+23 38 25.58980,PTF09atu,1,SLSN-I,0.501,GAL.LINES,,16 30 24.5372,+23 38 25.5898,16 30 24.5435,+24 03 31.34,0.109,0.158,0.686,0.995,0.04,0.23,-14.48,-15.69,-15.82,-0.59,6.84,-7.43,0.06,7,Simbad,2
13 37 56.358133,+22 55 04.78060,PTF09awk,1,SNIb,0.0616,GAL.LINES,,13 37 56.3581,+22 55 04.7806,13 37 56.3593,+22 59 46.62,0.017,0.165,0.021,0.202,0.02,0.19,-17.11,-19.07,-19.73,-0.14,9.56,-9.69,3.98,15,Simbad,3
14 12 40.850200,+31 04 03.88780,PTF09axi,1,SNII,0.064,GAL.LINES,,14 12 40.8502,+31 04 03.8878,14 12 40.9429,+31 07 24.00,1.287,0.114,1.636,0.145,0.01,0.13,-16.03,-18.47,-18.96,-0.82,9.17,-9.98,1.87,10,Simbad,4
16 35 17.680000,+55 37 59.33240,PTF09bce,1,SNII,0.0234,GAL.LINES,,16 35 17.6800,+55 37 59.3324,16 35 17.6568,+55 39 32.16,2.212,0.107,1.079,0.052,0.01,,,,,,,,,0,Simbad,5
18 06 26.808800,+17 51 43.14670,PTF09bcl,2,SNIIn,0.06,MATCHING,,18 06 26.8088,+17 51 43.1467,18 06 26.4418,+18 33 40.22,5.261,0.06,6.3,0.072,0.08,0.2,-13.16,-21.19,-23.17,-2.62,11.09,-13.67,5.81,10,Simbad,6
14 10 18.537533,+16 53 38.71100,PTF09be,1,SNII,0.102,MATCHING,,14 10 18.5375,+16 53 38.7110,14 10 18.4932,+17 31 32.08,0.661,0.249,1.281,0.483,0.02,0.32,-12.75,-14.45,-14.94,-0.91,6.51,-7.39,0.05,3,Simbad,7
14 41 38.329400,+19 21 43.79760,PTF09bgf,1,SNII,0.0318,GAL.LINES,,14 41 38.3294,+19 21 43.7976,14 41 38.3509,+20 04 11.50,0.678,0.145,0.445,0.095,0.02,0.04,-16.18,-17.49,-17.76,-1.01,8.67,-9.68,4.68,14,Simbad,8
15 05 01.989933,+48 40 03.48600,PTF09bw,1,SNII,0.147,GAL.LINES,2009cw,15 05 01.9899,+48 40 03.4860,15 05 02.0346,+48 43 13.50,0.515,0.123,1.367,0.326,0.02,0.17,-16.63,-18.54,-19.46,-0.24,9.31,-9.56,4.81,11,Simbad,9
21 16 28.502267,-00 49 39.70490,PTF09cjq,2,SNII,0.01929,SDSS,,21 16 28.5023,-00 49 39.7049,21 16 27.6060,-01 23 46.48,14.319,0.135,5.788,0.055,0.06,0.19,-17.98,-20.93,-22.47,0.3,10.81,-10.51,8.59,17,Simbad,10
